Ship Date,Ship Mode,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Sales,Year,Month,Day,Sales_log
10/12/2017,Standard Class,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976,2017,12,5,6.0136564746144785
26/11/2016,Standard Class,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,2016,11,22,4.24577726598231
26/11/2016,Standard Class,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,2016,11,22,1.2652560327428346
18/11/2015,Standard Class,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,500.6405000000001,2015,11,11,6.2178837276860754
15/05/2015,Second Class,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2015,5,13,4.034240638152395
01/09/2015,Second Class,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2015,8,27,2.25758772706331
01/09/2015,Second Class,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48,2015,8,27,5.3682164939277035
01/09/2015,Second Class,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72,2015,8,27,3.1663185741295248
13/12/2017,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.46,2017,12,9,3.0184717605234805
13/12/2017,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,2017,12,9,4.116432158686106
18/07/2018,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.372,2018,7,16,4.28181948425685
30/09/2016,Standard Class,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,500.6405000000001,2016,9,25,6.2178837276860754
20/01/2017,Second Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2017,1,16,2.537499099907171
20/01/2017,Second Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,90.57,2017,1,16,4.517103707119641
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,500.6405000000001,2016,9,17,6.2178837276860754
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2016,9,17,2.3625506741614797
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.2,2016,9,17,4.829912458665998
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2016,9,17,1.4502076868635434
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,86.304,2016,9,17,4.4693962808107885
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,6.858,2016,9,17,2.061532121136268
21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,15.76,2016,9,17,2.818995095053937
23/10/2018,Second Class,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,2018,10,19,3.416808229176303
10/12/2017,First Class,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,500.6405000000001,2017,12,8,6.2178837276860754
10/12/2017,First Class,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,2017,12,8,5.257078618531439
31/12/2016,Standard Class,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,2016,12,27,4.739071510179493
31/12/2016,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,500.6405000000001,2016,12,27,6.2178837276860754
31/12/2016,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,212.058,2016,12,27,5.361564429111865
31/12/2016,Standard Class,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,371.168,2016,12,27,5.919345365229957
15/09/2018,Standard Class,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,147.168,2018,9,10,4.998346765120501
22/07/2017,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2017,7,17,4.36792771029438
23/09/2018,Standard Class,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2018,9,19,4.570744358973074
13/03/2017,First Class,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,45.98,2017,3,11,3.8497219792307664
13/03/2017,First Class,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2017,3,11,2.9156062290747062
25/10/2015,Second Class,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,2015,10,20,5.361104354646802
25/06/2017,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,45.0,2017,6,20,3.828641396489095
25/06/2017,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,21.8,2017,6,20,3.126760535960395
22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,2016,4,18,3.6691868207682004
22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,2016,4,18,4.333098961050458
22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2016,4,18,1.9685099809725544
22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,89.99,2016,4,18,4.5107496103686
17/12/2017,Standard Class,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,2017,12,11,2.7887081041196646
17/12/2017,Standard Class,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,500.6405000000001,2017,12,11,6.2178837276860754
18/06/2017,First Class,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,208.56,2017,6,17,5.345010094540019
18/06/2017,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,32.4,2017,6,17,3.5085558999826545
18/06/2017,First Class,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,319.41,2017,6,17,5.769601425693419
18/06/2017,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2017,6,17,2.7447035187502458
18/06/2017,First Class,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,30.0,2017,6,17,3.4339872044851463
18/06/2017,First Class,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,48.48,2017,6,17,3.901568547524287
18/06/2017,First Class,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,1.68,2017,6,17,0.9858167945227653
30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,13.98,2016,11,24,2.7067159780890733
30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,25.824,2016,11,24,3.2892970091639273
30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,146.73,2016,11,24,4.9953862833335165
30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,79.76,2016,11,24,4.391481793444637
05/05/2016,Standard Class,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,213.115,2016,4,30,5.36651325386079
10/12/2015,Standard Class,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,500.6405000000001,2015,12,5,6.2178837276860754
10/12/2015,Standard Class,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,167.968,2015,12,5,5.129709347881841
06/06/2017,First Class,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2017,6,4,4.342245764662037
23/09/2017,Standard Class,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,4.616,2017,9,18,1.72561966672351
17/09/2018,Second Class,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,2018,9,14,2.998229153752578
02/05/2016,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,500.6405000000001,2016,4,26,6.2178837276860754
02/05/2016,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2016,4,26,4.585375558659912
02/05/2016,Standard Class,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,72.784,2016,4,26,4.3011419059334175
11/12/2018,First Class,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,2018,12,9,0.8100409320314447
11/12/2018,First Class,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,2018,12,9,2.370991125658106
11/12/2018,First Class,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,2018,12,9,3.3407394126250414
01/12/2015,Second Class,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,2015,11,26,3.0106208860477417
15/06/2017,First Class,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,2017,6,12,5.34309950931993
15/06/2017,First Class,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,16.74,2017,6,12,2.8758219768814333
16/10/2015,Standard Class,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,14.9,2015,10,12,2.766319109226186
16/10/2015,Standard Class,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,21.39,2015,10,12,3.1086144306106633
08/09/2016,Standard Class,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,2016,9,3,5.308188486343299
16/11/2018,First Class,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,2018,11,13,5.444044092872437
30/05/2018,Second Class,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,301.96,2018,5,28,5.713600783593539
02/11/2018,Standard Class,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,19.99,2018,10,26,3.0440461338325413
02/11/2018,Standard Class,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2018,10,26,1.9685099809725544
10/04/2017,Second Class,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,2017,4,5,5.071215993379483
22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,20.1,2017,9,17,3.0492730404820207
22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,73.584,2017,9,17,4.311926006994392
22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,6.48,2017,9,17,2.012232791986386
05/02/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2016,1,31,2.6361960973342264
05/02/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,2016,1,31,3.9952606039982017
05/02/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2016,1,31,3.5251833614431467
12/11/2018,Standard Class,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,5.682,2018,11,6,1.899417343934565
11/11/2018,Second Class,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,96.53,2018,11,9,4.580160022983923
20/06/2018,First Class,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,51.312,2018,6,17,3.957225790258975
11/09/2017,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,2017,9,6,4.36792771029438
02/09/2017,Standard Class,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,2017,8,29,4.183941482700448
02/09/2017,Standard Class,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,95.976,2017,8,29,4.574463525208929
02/09/2017,Standard Class,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,2017,8,29,1.0253244928982774
04/12/2017,Second Class,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,2017,12,1,3.2156706939192525
17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,238.896,2016,11,13,5.480205496092637
17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,102.36,2016,11,13,4.638218040034292
17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,36.882,2016,11,13,3.6344760652345496
28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,74.112,2018,11,23,4.318980332956246
28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,27.992,2018,11,23,3.367019929860569
28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,3.304,2018,11,23,1.4595448228594832
20/10/2016,Standard Class,Home Office,United States,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,339.96,2016,10,15,5.831765168350307
30/12/2018,Standard Class,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2018,12,25,3.7602694502006093
10/11/2017,Standard Class,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,75.96,2017,11,3,4.343285806357451
10/11/2017,Standard Class,Consumer,United States,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,27.24,2017,11,3,3.3407394126250414
27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096,2015,8,25,3.7159107931649666
27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72,2015,8,25,1.7439688053917064
27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,23.976,2015,8,25,3.217915363773076
27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464,2015,8,25,4.8787330498789885
06/03/2016,Standard Class,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,500.6405000000001,2016,3,2,6.2178837276860754
10/04/2016,Standard Class,Corporate,United States,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,157.794,2016,4,5,5.067607764723911
15/06/2017,First Class,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,47.04,2017,6,12,3.8720339972117825
15/06/2017,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,30.84,2017,6,12,3.460723360976182
15/06/2017,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,226.56,2017,6,12,5.427413939882447
15/06/2017,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02,2017,6,12,4.753762590037918
15/06/2017,First Class,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,68.04,2017,6,12,4.234686046775173
28/12/2015,Second Class,Home Office,United States,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,500.6405000000001,2015,12,26,6.2178837276860754
25/09/2015,Standard Class,Consumer,United States,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,500.6405000000001,2015,9,20,6.2178837276860754
12/11/2018,Standard Class,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,2.388,2018,11,5,1.2202397767898079
12/11/2018,Standard Class,Consumer,United States,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,243.992,2018,11,5,5.50122555695038
10/11/2017,Second Class,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,81.424,2017,11,6,4.411876656642767
10/11/2017,Second Class,Home Office,United States,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,238.56,2017,11,6,5.478803907396261
05/02/2018,First Class,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97,2018,2,2,4.110381939919725
05/02/2018,First Class,Corporate,United States,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2018,2,2,4.3732885687305965
05/02/2018,First Class,Corporate,United States,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,2018,2,2,3.1115578390595813
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,20.04,2017,10,13,3.046425387869509
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-PA-10001736,Office Supplies,Paper,35.44,2017,10,13,3.5956670723917576
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-AR-10001149,Office Supplies,Art,11.52,2017,10,13,2.5273273656719524
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02,2017,10,13,1.6134299337036377
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-BI-10004781,Office Supplies,Binders,76.176,2017,10,13,4.346088527868252
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,OFF-SU-10001218,Office Supplies,Supplies,65.88,2017,10,13,4.202899968776446
19/10/2017,Standard Class,Consumer,United States,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,43.12,2017,10,13,3.786913194385302
07/09/2017,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,82.8,2017,9,5,4.428433007488037
23/09/2018,Standard Class,Corporate,United States,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,8.82,2018,9,18,2.2844211223663744
23/09/2018,Standard Class,Corporate,United States,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86,2018,9,18,2.4731713935695794
23/09/2018,Standard Class,Corporate,United States,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,143.7,2018,9,18,4.974662633637438
27/12/2018,Standard Class,Consumer,United States,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,500.6405000000001,2018,12,22,6.2178837276860754
12/09/2016,Standard Class,Consumer,United States,Pasadena,California,West,OFF-ST-10003656,Office Supplies,Storage,500.6405000000001,2016,9,7,6.2178837276860754
28/10/2015,Standard Class,Home Office,United States,Newark,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,93.888,2015,10,22,4.552697248726974
09/12/2017,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,384.45,2017,12,5,5.954411482905271
09/12/2017,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,149.97,2017,12,5,5.017081141579645
09/12/2017,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,500.6405000000001,2017,12,5,6.2178837276860754
09/12/2017,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,171.55,2017,12,5,5.150687049544013
16/03/2017,First Class,Home Office,United States,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,157.92,2017,3,13,5.068400930946398
16/03/2017,First Class,Home Office,United States,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,203.184,2017,3,13,5.3190215481063285
02/06/2016,First Class,Corporate,United States,San Jose,California,West,OFF-PA-10001950,Office Supplies,Paper,58.38,2016,5,31,4.083957469335614
02/06/2016,First Class,Corporate,United States,San Jose,California,West,OFF-PA-10002254,Office Supplies,Paper,105.52,2016,5,31,4.668332760945732
02/06/2016,First Class,Corporate,United States,San Jose,California,West,OFF-ST-10001590,Office Supplies,Storage,80.88,2016,5,31,4.405254760793088
03/06/2016,Standard Class,Home Office,United States,Seattle,Washington,West,OFF-AR-10001547,Office Supplies,Art,6.63,2016,5,28,2.0320878452963655
06/03/2015,Second Class,Consumer,United States,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,457.568,2015,3,1,6.128108590405284
24/11/2017,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,14.62,2017,11,20,2.7485521444115397
24/11/2017,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,500.6405000000001,2017,11,20,6.2178837276860754
12/05/2017,First Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,5.98,2017,5,11,1.943048916774281
31/12/2016,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,54.384,2016,12,28,4.0142907433757244
20/11/2017,Standard Class,Consumer,United States,Carlsbad,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,28.4,2017,11,16,3.380994674344636
11/11/2017,Standard Class,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,27.68,2017,11,7,3.3562000157314196
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10004441,Office Supplies,Art,9.936,2015,9,8,2.3920600994216485
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,TEC-MA-10000822,Technology,Machines,500.6405000000001,2015,9,8,6.2178837276860754
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,OFF-ST-10000991,Office Supplies,Storage,275.928,2015,9,8,5.6237575446024195
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,FUR-CH-10004287,Furniture,Chairs,500.6405000000001,2015,9,8,6.2178837276860754
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10002656,Office Supplies,Art,32.064,2015,9,8,3.498445077209431
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,OFF-AP-10002518,Office Supplies,Appliances,177.98,2015,9,8,5.1872740677547124
12/09/2015,Standard Class,Consumer,United States,San Antonio,Texas,Central,TEC-PH-10003931,Technology,Phones,143.976,2015,9,8,4.976568211479705
09/08/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,20.94,2015,8,5,3.0883114548470845
09/08/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10001144,Office Supplies,Paper,110.96,2015,8,5,4.718141664647253
09/08/2015,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-CH-10003817,Furniture,Chairs,340.144,2015,8,5,5.83230467553532
19/09/2015,Standard Class,Corporate,United States,Chicago,Illinois,Central,OFF-AP-10000891,Office Supplies,Appliances,52.448,2015,9,14,3.9787092186231763
19/09/2015,Standard Class,Corporate,United States,Chicago,Illinois,Central,OFF-LA-10003148,Office Supplies,Labels,20.16,2015,9,14,3.052112606990099
25/04/2018,Second Class,Consumer,United States,Houston,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,97.264,2018,4,21,4.587657734236793
23/11/2016,Second Class,Consumer,United States,Newark,Ohio,East,FUR-CH-10004698,Furniture,Chairs,396.802,2016,11,21,5.98595439405932
23/11/2016,Second Class,Consumer,United States,Newark,Ohio,East,OFF-SU-10002189,Office Supplies,Supplies,15.88,2016,11,21,2.826129489167811
19/12/2016,Standard Class,Home Office,United States,New York City,New York,East,OFF-AR-10001940,Office Supplies,Art,3.28,2016,12,15,1.4539530095937054
09/12/2015,Second Class,Corporate,United States,Decatur,Illinois,Central,OFF-ST-10003455,Office Supplies,Storage,24.816,2015,12,5,3.2509944547496605
09/12/2015,Second Class,Corporate,United States,Decatur,Illinois,Central,TEC-AC-10004659,Technology,Accessories,408.744,2015,12,5,6.015532574441682
24/11/2015,Second Class,Home Office,United States,Monroe,Louisiana,South,TEC-PH-10003273,Technology,Phones,500.6405000000001,2015,11,19,6.2178837276860754
24/11/2015,Second Class,Home Office,United States,Monroe,Louisiana,South,TEC-PH-10004896,Technology,Phones,149.95,2015,11,19,5.016948656152848
24/11/2015,Second Class,Home Office,United States,Monroe,Louisiana,South,TEC-AC-10002345,Technology,Accessories,29.0,2015,11,19,3.4011973816621555
02/12/2017,Standard Class,Consumer,United States,Fairfield,Connecticut,East,OFF-BI-10001890,Office Supplies,Binders,7.16,2017,11,28,2.0992441689760155
30/08/2015,Standard Class,Home Office,United States,Los Angeles,California,West,TEC-AC-10002323,Technology,Accessories,176.8,2015,8,26,5.180659323079804
